,0,1,2,3,4,5,6,7,8,9
363,"English Patient, The (1996)",Air Force One (1997),Liar Liar (1997),Schindler's List (1993),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",Amadeus (1984),One Flew Over the Cuckoo's Nest (1975),Mr. Holland's Opus (1995),Leaving Las Vegas (1995)
364,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
365,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997)
366,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)"
367,Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996)
368,Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
369,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
370,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
371,Fargo (1996),Contact (1997),"English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
372,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997)
373,Contact (1997),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
374,Contact (1997),"English Patient, The (1996)",Air Force One (1997),Titanic (1997),"Full Monty, The (1997)",L.A. Confidential (1997),Braveheart (1995),Amadeus (1984),One Flew Over the Cuckoo's Nest (1975),Sense and Sensibility (1995)
375,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994)
376,Star Wars (1977),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
377,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)",Independence Day (ID4) (1996),Jerry Maguire (1996)
378,"Godfather, The (1972)",Monty Python and the Holy Grail (1974),One Flew Over the Cuckoo's Nest (1975),Casablanca (1942),"Saint, The (1997)",Psycho (1960),Trainspotting (1996),Chasing Amy (1997),To Kill a Mockingbird (1962),Star Trek: The Wrath of Khan (1982)
379,Contact (1997),Scream (1996),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)",Star Trek: First Contact (1996),Schindler's List (1993),"Full Monty, The (1997)",L.A. Confidential (1997)
380,"Godfather, The (1972)",Scream (1996),Pulp Fiction (1994),Liar Liar (1997),Jerry Maguire (1996),"Rock, The (1996)","Princess Bride, The (1987)",Indiana Jones and the Last Crusade (1989),"Full Monty, The (1997)","Terminator, The (1984)"
381,Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
382,Return of the Jedi (1983),Raiders of the Lost Ark (1981),Toy Story (1995),Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
383,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
384,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
385,Contact (1997),Toy Story (1995),Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
386,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
387,Air Force One (1997),Titanic (1997),Jerry Maguire (1996),"Full Monty, The (1997)",L.A. Confidential (1997),Dead Man Walking (1995),Mission: Impossible (1996),Men in Black (1997),When Harry Met Sally... (1989),Mr. Holland's Opus (1995)
388,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Empire Strikes Back, The (1980)",Twelve Monkeys (1995),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985)
389,Contact (1997),Scream (1996),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)",Star Trek: First Contact (1996),Schindler's List (1993)
390,Star Wars (1977),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
391,Return of the Jedi (1983),Toy Story (1995),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),"Rock, The (1996)","Fugitive, The (1993)",Indiana Jones and the Last Crusade (1989),"Full Monty, The (1997)"
392,Fargo (1996),Toy Story (1995),Pulp Fiction (1994),Twelve Monkeys (1995),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)",Back to the Future (1985),Star Trek: First Contact (1996)
393,Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Air Force One (1997),"Full Monty, The (1997)",Willy Wonka and the Chocolate Factory (1971),Alien (1979),When Harry Met Sally... (1989),Aliens (1986)
394,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Air Force One (1997),Jerry Maguire (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997)
395,Pulp Fiction (1994),Liar Liar (1997),Twelve Monkeys (1995),"Rock, The (1996)","Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Star Trek: First Contact (1996),Monty Python and the Holy Grail (1974),Forrest Gump (1994)
396,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
397,Contact (1997),Toy Story (1995),"Silence of the Lambs, The (1991)",Air Force One (1997),Liar Liar (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985)
398,Contact (1997),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Star Trek: First Contact (1996)
399,Contact (1997),"English Patient, The (1996)",Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),"Full Monty, The (1997)",Alien (1979),Amadeus (1984),Blade Runner (1982)
400,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
401,Contact (1997),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),"Fugitive, The (1993)",Star Trek: First Contact (1996),"Full Monty, The (1997)"
402,Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),"Fugitive, The (1993)"
403,Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)"
404,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
405,Fargo (1996),Contact (1997),"English Patient, The (1996)",Toy Story (1995),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
406,Contact (1997),Scream (1996),Air Force One (1997),Titanic (1997),"Full Monty, The (1997)",L.A. Confidential (1997),E.T. the Extra-Terrestrial (1982),Men in Black (1997),Conspiracy Theory (1997),"Saint, The (1997)"
407,Air Force One (1997),Liar Liar (1997),Jerry Maguire (1996),"Fugitive, The (1993)",Schindler's List (1993),"Shawshank Redemption, The (1994)",L.A. Confidential (1997),Braveheart (1995),"Usual Suspects, The (1995)",Dead Man Walking (1995)
408,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
409,Contact (1997),Toy Story (1995),Pulp Fiction (1994),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)",Star Trek: First Contact (1996)
410,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
411,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
412,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Air Force One (1997),Liar Liar (1997),Titanic (1997)
413,Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996)
414,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
415,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)"
416,Star Trek: First Contact (1996),Blade Runner (1982),Casablanca (1942),2001: A Space Odyssey (1968),"Blues Brothers, The (1980)",Star Trek: The Wrath of Khan (1982),Apocalypse Now (1979),Butch Cassidy and the Sundance Kid (1969),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Brazil (1985)
417,Air Force One (1997),Titanic (1997),Jerry Maguire (1996),Back to the Future (1985),Schindler's List (1993),"Full Monty, The (1997)",Braveheart (1995),Dead Man Walking (1995),Leaving Las Vegas (1995),Apollo 13 (1995)
418,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
419,Contact (1997),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
420,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
421,Return of the Jedi (1983),Contact (1997),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
422,Raiders of the Lost Ark (1981),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993)
423,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
424,Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)"
425,Jerry Maguire (1996),"Princess Bride, The (1987)",Forrest Gump (1994),Willy Wonka and the Chocolate Factory (1971),Dead Man Walking (1995),E.T. the Extra-Terrestrial (1982),When Harry Met Sally... (1989),Mr. Holland's Opus (1995),Leaving Las Vegas (1995),Apollo 13 (1995)
426,Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
427,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
428,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
429,"English Patient, The (1996)",Liar Liar (1997),Titanic (1997),"Full Monty, The (1997)",L.A. Confidential (1997),Dead Man Walking (1995),2001: A Space Odyssey (1968),Conspiracy Theory (1997),"Saint, The (1997)",Chasing Amy (1997)
430,Raiders of the Lost Ark (1981),Toy Story (1995),"Empire Strikes Back, The (1980)",Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Forrest Gump (1994),"Full Monty, The (1997)"
431,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
432,Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)","Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993)
433,Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
434,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
435,"English Patient, The (1996)",Jerry Maguire (1996),"Full Monty, The (1997)",L.A. Confidential (1997),Leaving Las Vegas (1995),Casablanca (1942),Sense and Sensibility (1995),Conspiracy Theory (1997),Raising Arizona (1987),"Graduate, The (1967)"
